S.No.,Commune,HASC,Population
1093,Ouled Addouane,DZ.SF.OA,"7,998"
1094,Ouled Ahmed Temmi,DZ.AR.OT,"11,976"
1095,Ouled Aissa,DZ.AR.OA,"5,497"
1096,Ouled Aissa,DZ.BM.OA,"6,773"
1097,Ouled Ammar,DZ.BT.OA,"7,006"
1098,Ouled Antar,DZ.MD.OA,"2,033"
1099,Ouled Aouf,DZ.BT.OO,"1,411"
1100,Ouled Attia,DZ.SK.OA,"10,351"
1101,Ouled Ben Abdelkader,DZ.CH.OB,"17,385"
1102,Ouled Bessem,DZ.TS.OB,"9,325"
1103,Ouled Bouachra,DZ.MD.OC,"1,446"
1104,Ouled Boudjemaa,DZ.AT.OJ,"5,322"
1105,Ouled Boughalem,DZ.MG.OB,"11,886"
1106,Ouled Brahem,DZ.BB.OB,"7,348"
1107,Ouled Brahim,DZ.MD.OB,"9,870"
1108,Ouled Brahim,DZ.SD.OB,"18,406"
1109,Ouled Chebel,DZ.AL.OC,"16,335"
1110,Ouled Dahmane,DZ.BB.OD,"14,777"
1111,Ouled Daid,DZ.MD.OD,"4,770"
1112,Ouled Derradj,DZ.MS.OJ,"22,851"
1113,Ouled Djellal,DZ.BS.OD,"45,622"
1114,Ouled Driss,DZ.SA.OD,"11,896"
1115,Ouled Fadhel,DZ.BT.OF,"9,882"
1116,Ouled Fares,DZ.CH.OR,"30,068"
1117,Ouled Fayet,DZ.AL.OF,"15,209"
1118,Ouled Gacem,DZ.OB.OG,"6,273"
1119,Ouled Hamla,DZ.OB.OH,"11,019"
1120,Ouled Hebbaba,DZ.SK.OH,"7,959"
1121,Ouled Hedadj,DZ.BM.OH,"22,382"
1122,Ouled Hellal,DZ.MD.OL,"3,062"
1123,Ouled Khaled,DZ.SD.OK,"19,368"
1124,Ouled Khelouf,DZ.ML.OK,"11,058"
1125,Ouled Khoudir,DZ.BC.OK,"3,893"
1126,Ouled Kihel,DZ.AT.OK,"3,064"
1127,Ouled Maalah,DZ.MG.OM,"8,948"
1128,Ouled Maaraf,DZ.MD.OM,"9,415"
1129,Ouled Madhi,DZ.MS.OD,"6,525"
1130,Ouled Mansour,DZ.MS.OM,"4,896"
1131,Ouled Mimoun,DZ.TL.OM,"24,350"
1132,Ouled Moumen,DZ.SA.OM,"5,688"
1133,Ouled Moussa,DZ.BM.OM,"26,108"
1134,Ouled Rabah,DZ.JJ.OR,"10,142"
1135,Ouled Rached,DZ.BU.OR,"8,553"
1136,Ouled Rahmoune,DZ.CO.OR,"20,434"
1137,Ouled Rechache,DZ.KH.OR,"22,509"
1138,Ouled Riyah,DZ.TL.OR,"3,973"
1139,Ouled Saber,DZ.SF.OS,"10,005"
1140,Ouled Said,DZ.AR.OS,"7,538"
1141,Ouled Sellem,DZ.BT.OL,"17,866"
1142,Ouled Si Ahmed,DZ.SF.OD,"9,456"
1143,Ouled Sidi Brahim,DZ.BB.OS,"2,648"
1144,Ouled Sidi Brahim,DZ.MS.OB,"10,188"
1145,Ouled Sidi Mihoub,DZ.RE.OS,"6,646"
1146,Ouled Si Slimane,DZ.BT.OS,"11,406"
1147,Ouled Slama,DZ.BL.OS,"15,956"
1148,Ouled Slimane,DZ.MS.OS,"2,070"
1149,Ouled Tebben,DZ.SF.OT,"9,482"
1150,Ouled Yahia Khadrouche,DZ.JJ.OY,"17,599"
1151,Ouled Yaich,DZ.RE.OY,"9,075"
1152,Ouled Yaiche,DZ.BL.OY,"55,719"
1153,Ouled Zaoui,DZ.OB.OZ,"4,578"
1154,Oulhaca El Gheraba,DZ.AT.OG,"15,031"
1155,Oultene,DZ.MS.OT,"1,763"
1156,Oumache,DZ.BS.OM,"8,175"
1157,Oum Ali,DZ.TB.OA,"2,985"
1158,Oum Drou,DZ.CH.OD,"17,314"
1159,Oum El Adhaim,DZ.SA.OA,"7,696"
1160,Oum El Assel,DZ.TN.OA,"1,794"
1161,Oum El Bouaghi,DZ.OB.OB,"59,962"
1162,Oum El Djellil,DZ.MD.OE,"3,664"
1163,Oum Laadham,DZ.DJ.OL,"13,696"
1164,Oum Toub,DZ.SK.OT,"31,051"
1165,Oum Touyour,DZ.EO.OT,"9,735"
1166,Ourlal,DZ.BS.OR,"5,820"
1167,Ourmes,DZ.EO.OU,"5,059"
1168,Ouyoun El Assafir,DZ.BT.OE,"8,969"
1169,Ouzzelaguen,DZ.BJ.OU,"21,547"
1170,Rabta,DZ.BB.RA,"10,529"
1171,Ragouba,DZ.SA.RA,"5,055"
1172,Rahmania,DZ.AL.RA,"5,759"
1173,Rahouia,DZ.TR.RA,"19,644"
1174,Rais Hamidou,DZ.AL.RH,"21,518"
1175,Ramdane Djamel,DZ.SK.RD,"23,482"
1176,Ramka,DZ.RE.RA,"5,215"
1177,Raml Souk,DZ.ET.RS,"3,715"
1178,Raouraoua,DZ.BU.RA,"7,209"
1179,Ras Ain Amirouche,DZ.MC.RA,"6,183"
1180,Ras El Agba,DZ.GL.RA,"2,348"
1181,Ras El Aioun,DZ.BT.RA,"18,791"
1182,Ras El Ma,DZ.SB.RM,"14,862"
1183,Ras El Oued,DZ.BB.RO,"42,345"
1184,Ras Miaad (Ouled Sassi),DZ.BS.RM,"6,053"
1185,Rechaiga,DZ.TR.RE,"15,709"
1186,Redjem Demouche,DZ.SB.RD,"2,358"
1187,Reggane,DZ.AR.RE,"14,179"
1188,Reghaia,DZ.AL.RE,"66,215"
1189,Reguiba,DZ.EO.RE,"30,392"
1190,Rehbat,DZ.BT.RE,"9,051"
1191,Relizane,DZ.RE.RE,"111,186"
1192,Remchi,DZ.TL.RE,"39,525"
1193,Remila,DZ.KH.RE,"5,740"
1194,Ridane,DZ.BU.RI,"3,029"
1195,Robbah,DZ.EO.RO,"17,243"
1196,Rogassa,DZ.EB.RO,"5,598"
1197,Roknia,DZ.GL.RO,"10,114"
1198,Rosfa,DZ.SF.RO,"14,025"
1199,Rouached,DZ.ML.RO,"25,399"
1200,Roubia,DZ.MD.RO,"7,223"
1201,Rouiba,DZ.AL.RO,"49,881"
1202,Rouina,DZ.AD.RO,"17,437"
1203,Rouissat,DZ.OG.RO,"37,814"
1204,Sabra,DZ.TL.SB,"24,622"
1205,Safel El Ouiden,DZ.SA.SO,"3,004"
1206,Safsaf,DZ.MG.SF,"12,492"
1207,Saf Saf El Ouesra,DZ.TB.SS,"5,531"
1208,Saharidj,DZ.BU.SA,"9,142"
1209,Saïda,DZ.SD.SD,"115,166"
1210,Salah Bey,DZ.SF.SB,"21,855"
1211,Salah Bouchaour,DZ.SK.SB,"25,933"
1212,Sali,DZ.AR.SA,"11,304"
1213,Saneg,DZ.MD.SA,"3,120"
1214,Saoula,DZ.AL.SA,"31,388"
1215,Sayada,DZ.MG.SY,"21,900"
1216,Sebaa,DZ.AR.SE,"1,989"
1217,Sebaine,DZ.TR.SE,"10,042"
1218,Sebbaa Chioukh,DZ.TL.SC,"4,259"
1219,Sebdou,DZ.TL.SE,"35,836"
1220,Sebgag,DZ.LG.SE,"6,107"
1221,Sebseb,DZ.GR.SE,"2,428"
1222,Sebt,DZ.TR.ST,"1,283"
1223,Seddouk,DZ.BJ.SE,"19,064"
1224,Sedjerara,DZ.MC.SJ,"7,819"
1225,Sed Rahal,DZ.DJ.SR,"11,812"
1226,Sedrata,DZ.SA.SE,"47,297"
1227,Sedraya,DZ.MD.SY,"7,070"
1228,Sefiane,DZ.BT.SF,"11,939"
1229,Seggana,DZ.BT.SG,"4,673"
1230,Seghouane,DZ.MD.SG,"7,599"
1231,Sehailia,DZ.MC.SH,"8,500"
1232,Sehala Thaoura,DZ.SB.ST,"2,322"
1233,Selaoua Announa,DZ.GL.SA,"3,001"
1234,Selma Benziada,DZ.JJ.SB,"1,564"
1235,Selmana,DZ.DJ.SE,"14,008"
1236,Sendjas,DZ.CH.SE,"26,228"
1237,Seraidi,DZ.AN.SE,"7,193"
1238,Serdj-El-Ghoul,DZ.SF.SG,"11,044"
1239,Serghine,DZ.TR.SN,"5,303"
1240,Seriana,DZ.BT.SR,"11,714"
1241,Setif,DZ.SF.SE,"239,195"
1242,Settara,DZ.JJ.SE,"13,748"
1243,Sfisef,DZ.SB.SF,"28,346"
1244,Sfissifa,DZ.NA.SF,"2,633"
1245,Si Abdelghani,DZ.TR.SG,"9,015"
1246,Sidi Abdelaziz,DZ.JJ.SA,"9,091"
1247,Sidi Abdeldjebar,DZ.MC.SD,"3,760"
1248,Sidi Abdelli,DZ.TL.SA,"16,500"
1249,Sidi Abdelmoumene,DZ.MC.SM,"13,306"
1250,Sidi Abderrahmane,DZ.CH.SR,"3,630"
1251,Sidi Abderrahmane,DZ.TR.SR,"7,082"
1252,Sidi Abed,DZ.TS.SA,"5,298"
1253,Sidi Ahmed,DZ.SD.SA,"12,205"
1254,Sidi-Aich,DZ.BJ.SA,"11,373"
1255,Sidi Aissa,DZ.MS.SD,"57,270"
1256,Sidi Akkacha,DZ.CH.SK,"23,374"
1257,Sidi Ali,DZ.MG.SA,"31,840"
1258,Sidi Ali Benyoub,DZ.SB.SA,"10,567"
1259,Sidi Ali Boussidi,DZ.SB.SI,"8,373"
1260,Sidi Ali Mellal,DZ.TR.SM,"7,297"
1261,Sidi Amar,DZ.AN.SA,"72,889"
1262,Sidi Amar,DZ.SD.SR,"7,715"
1263,Sidi Amar,DZ.TP.SA,"10,906"
1264,Sidi Ameur,DZ.EB.SA,"2,685"
1265,Sidi Ameur,DZ.MS.SA,"18,721"
1266,Sidi Amrane,DZ.EO.SM,"18,732"
1267,Sidi Aoun,DZ.EO.SA,"10,018"
1268,Sidi Ayad,DZ.BJ.SD,"5,059"
1269,Sidi Baizid,DZ.DJ.SB,"11,360"
1270,Sidi Bakhti,DZ.TR.SB,"6,376"
1271,Sidi Bel Abbes,DZ.SB.SB,"186,879"
1272,Sidi Belattar,DZ.MG.SB,"6,670"
1273,Sidi Ben Adda,DZ.AT.SA,"12,224"
1274,Sidi Ben Yebka,DZ.OR.SB,"5,893"
1275,Sidi Boubekeur,DZ.SD.SB,"17,131"
1276,Sidi Boumediene,DZ.AT.SB,"2,899"
1277,Sidi Boussaid,DZ.MC.SB,"4,428"
1278,Sidi Boutouchent,DZ.TS.SB,"3,656"
1279,Sidi Bouzid,DZ.LG.SB,"3,864"
1280,Sidi Brahim,DZ.SB.SM,"8,464"
1281,Sidi Chahmi,DZ.OR.SC,"58,857"
1282,Sidi Chouab,DZ.SB.SC,"4,237"
1283,Sidi Dahou Zair,DZ.SB.SD,"4,650"
1284,Sidi Damed,DZ.MD.SD,"3,784"
1285,Sidi Daoud,DZ.BM.SD,"14,889"
1286,Sidi Djilali,DZ.TL.SD,"5,229"
1287,Sidi Embarek,DZ.BB.SE,"10,281"
1288,Sidi Fredj,DZ.SA.SF,"7,949"
1289,Sidi Ghiles,DZ.TP.SG,"12,731"
1290,Sidi Hadjeres,DZ.MS.SH,"6,774"
1291,Sidi Hamadouche,DZ.SB.SH,"9,264"
1292,Sidi Hosni,DZ.TR.SH,"7,610"
1293,Sidi Kada,DZ.MC.SK,"17,843"
1294,Sidi Khaled,DZ.BS.SK,"35,277"
1295,Sidi Khaled,DZ.SB.SK,"6,227"
1296,Sidi Khelifa,DZ.ML.SK,"4,505"
1297,Sidi Khelil,DZ.EO.SK,"5,524"
1298,Sidi Khettab,DZ.RE.SK,"12,594"
1299,Sidi Khouiled,DZ.OG.SK,"4,309"
1300,Sidi Ladjel,DZ.DJ.SL,"11,776"
1301,Sidi Lahcene,DZ.SB.SL,"15,016"
1302,Sidi Lakhdar,DZ.AD.SL,"16,902"
1303,Sidi Lakhdar,DZ.MG.SL,"30,950"
1304,Sidi Lantri,DZ.TS.SL,"4,945"
1305,Sidi Lazreg,DZ.RE.SL,"5,575"
1306,Sidi Makhlouf,DZ.LG.SM,"8,061"
1307,Sidi Marouf,DZ.JJ.SM,"19,314"
1308,Sidi Medjahed,DZ.TL.SM,"6,431"
1309,Sidi Merouane,DZ.ML.SM,"20,018"
1310,Sidi Mezghiche,DZ.SK.SM,"21,071"
1311,Sidi M'Hamed,DZ.AL.SH,"90,455"
1312,Sidi M'Hamed,DZ.MS.SM,"6,225"
1313,Sidi M'Hamed Benali,DZ.RE.SB,"17,072"
1314,Sidi M'Hamed Benaouda,DZ.RE.SM,"6,159"
1315,Sidi Moussa,DZ.AL.SM,"27,888"
1316,Sidi Naamane,DZ.MD.SN,"21,478"
1317,Sidi Naamane,DZ.TO.SN,"9,641"
1318,Sidi Okba,DZ.BS.SO,"26,139"
1319,Sidi Ouriache (Tadmaya),DZ.AT.SO,"5,540"
1320,Sidi Rabai,DZ.MD.SR,"5,061"
1321,Sidi Rached,DZ.TP.SR,"9,153"
1322,Sidi Saada,DZ.RE.SS,"14,479"
1323,Sidi Safi,DZ.AT.SS,"6,346"
1324,Sidi Semiane,DZ.TP.SS,"2,978"
1325,Sidi Slimane,DZ.EB.SS,"1,563"
1326,Sidi Slimane,DZ.OG.SS,"6,822"
1327,Sidi Slimane,DZ.TS.SS,"7,328"
1328,Sidi Tifour,DZ.EB.ST,"2,930"
1329,Sidi Yacoub,DZ.SB.SY,"3,971"
1330,Sidi Zahar,DZ.MD.SH,"8,018"
1331,Sidi Ziane,DZ.MD.SZ,"3,282"
1332,Si El Mahdjoub,DZ.MD.SM,"7,596"
1333,Sig,DZ.MC.SI,"60,783"
1334,Sigous,DZ.OB.SI,"14,944"
1335,Si Mustapha,DZ.BM.SM,"9,015"
1336,Sirat,DZ.MG.SI,"17,979"
1337,Skikda,DZ.SK.SK,"156,680"
1338,Slim,DZ.MS.SL,"5,777"
1339,Smaoun,DZ.BJ.SM,"13,157"
1340,Sobha,DZ.CH.SO,"28,646"
1341,Souaflia,DZ.MG.SO,"14,356"
1342,Souagui,DZ.MD.SO,"19,059"
1343,Souahlia,DZ.TL.SH,"20,823"
1344,Souamaa,DZ.MS.SO,"6,424"
1345,Souamaa,DZ.TO.SO,"10,932"
1346,Souani,DZ.TL.SN,"8,227"
1347,Souarekh,DZ.ET.SO,"7,457"
1348,Sougueur,DZ.TR.SO,"64,970"
1349,Souhan,DZ.BL.SH,101
1350,Souidania,DZ.AL.SO,"11,620"
1351,Souk Ahras,DZ.SA.SA,"116,745"
1352,Souk El Haad,DZ.BM.SH,"4,860"
1353,Souk El Had,DZ.RE.SH,"3,351"
1354,Souk El Khemis,DZ.BU.SK,"8,039"
1355,Souk El Tenine,DZ.BJ.ST,"11,762"
1356,Souk-El-Thenine,DZ.TO.ST,"13,914"
1357,Souk Naamane,DZ.OB.SN,"23,018"
1358,Souk Oufella,DZ.BJ.SO,"9,776"
1359,Souk Tleta,DZ.TL.ST,"2,886"
1360,Soumaa,DZ.BL.SM,"31,451"
1361,Sour,DZ.MG.SR,"20,625"
1362,Sour El Ghouzlane,DZ.BU.SG,"42,179"
1363,Stah Guentis,DZ.TB.SG,"2,914"
1364,Staoueli,DZ.AL.ST,"38,915"
1365,Stidia,DZ.MG.ST,"10,688"
1366,Still,DZ.EO.ST,"3,545"
1367,Stitten,DZ.EB.SN,"4,495"
1368,Tabelbala,DZ.BC.TB,"4,663"
1369,Tabia,DZ.SB.TB,"4,886"
1370,Tablat,DZ.MD.TB,"28,276"
1371,Tacheta Zegagha,DZ.AD.TZ,"19,711"
1372,Tachouda,DZ.SF.TC,"7,735"
1373,Tadjemout,DZ.LG.TM,"20,321"
1374,Tadjena,DZ.CH.TJ,"22,155"
1375,Tadjenanet,DZ.ML.TA,"43,151"
1376,Tadjrouna,DZ.LG.TR,"3,597"
1377,Tadmait,DZ.TO.TA,"21,547"
1378,Tadmit,DZ.DJ.TA,"6,172"
1379,Tafissour,DZ.SB.TF,"1,864"
1380,Tafraoui,DZ.OR.TA,"9,988"
1381,Tafraout,DZ.MD.TF,"7,722"
1382,Tafreg,DZ.BB.TF,"1,991"
1383,Tagdemt,DZ.TR.TG,"4,090"
1384,Taghit,DZ.BC.TA,"6,047"
1385,Taghlimet,DZ.SB.TG,"6,913"
1386,Taghzout,DZ.BU.TZ,"11,940"
1387,Taghzout,DZ.EO.TA,"11,147"
1388,Taglait,DZ.BB.TG,"5,042"
1389,Taguedit,DZ.BU.TD,"10,277"
1390,Taher,DZ.JJ.TA,"67,095"
1391,Taibet,DZ.OG.TA,"14,322"
1392,Takhemaret,DZ.TR.TK,"29,835"
1393,Tala Hamza,DZ.BJ.TH,"10,252"
1394,Tala-Ifacene,DZ.SF.TI,"17,555"
1395,Taleb Larbi,DZ.EO.TL,"3,582"
1396,Talkhamt,DZ.BT.TL,"17,728"
1397,Talmine,DZ.AR.TL,"9,469"
1398,Tamalous,DZ.SK.TA,"39,346"
1399,Tamantit,DZ.AR.TN,"7,912"
1400,Tamekten,DZ.AR.TA,"14,134"
1401,Tamelaht,DZ.TS.TA,"7,493"
1402,Tamenghasset,DZ.TM.TM,"72,741"
1403,Tamest,DZ.AR.TE,"6,658"
1404,Tamezguida,DZ.MD.TM,"4,964"
1405,Tamlouka,DZ.GL.TA,"16,640"
1406,Tamokra,DZ.BJ.TA,"5,159"
1407,Tamridjet,DZ.BJ.TJ,"8,838"
1408,Tamsa,DZ.MS.TS,"6,284"
1409,Tamtert,DZ.BC.TT,"1,302"
1410,Tamza,DZ.KH.TM,"8,580"
1411,Tamzoura,DZ.AT.TA,"8,665"
1412,Taouala,DZ.LG.TA,"2,634"
1413,Taoudmout,DZ.SB.TO,"1,991"
1414,Taougrit,DZ.CH.TG,"24,267"
1415,Taoura,DZ.SA.TA,"17,337"
1416,Taourga,DZ.BM.TA,"7,303"
1417,Taourit Ighil,DZ.BJ.TI,"7,083"
1418,Taouzianat,DZ.KH.TA,"9,794"
1419,Tarik Ibn-Ziad,DZ.AD.TI,"9,739"
1420,Tarmount,DZ.MS.TR,"9,438"
1421,Taskriout,DZ.BJ.TK,"14,635"
1422,Tassadane Haddada,DZ.ML.TH,"17,623"
1423,Tassala,DZ.SB.TS,"6,711"
1424,Taxlent,DZ.BT.TX,"7,875"
1425,Taya,DZ.SF.TY,"9,346"
1426,Tazgait,DZ.MG.TA,"8,763"
1427,Tazmalt,DZ.BJ.TZ,"25,974"
1428,Tazoult,DZ.BT.TZ,"22,114"
1429,Tazrouk,DZ.TM.TA,"3,033"
1430,Tebesbest,DZ.OG.TB,"29,840"
1431,Tebessa,DZ.TB.TE,"161,440"
1432,Telaa,DZ.SF.TE,"6,826"
1433,Telagh,DZ.SB.TL,"20,880"
1434,Telassa,DZ.CH.TL,"10,175"
1435,Teleghma,DZ.ML.TE,"40,846"
1436,Temacine,DZ.OG.TM,"15,933"
1437,Tenedla,DZ.EO.TE,"8,033"
1438,Ténès,DZ.CH.TN,"34,332"
1439,Teniet El Abed,DZ.BT.TA,"10,471"
1440,Teniet En Nasr,DZ.BB.TN,"6,808"
1441,Tenira,DZ.SB.TN,"9,413"
1442,Terga,DZ.AT.TE,"7,165"
1443,Terny Beni Hediel,DZ.TL.TB,"4,637"
1444,Terraguelt,DZ.SA.TE,"4,621"
1445,Terrai Bainnane,DZ.ML.TB,"20,685"
1446,Tesmart,DZ.BB.TE,"5,269"
1447,Tessala-El-Merdja,DZ.AL.TM,"10,792"
1448,Tessala Lamtai,DZ.ML.TL,"13,849"
1449,Texenna,DZ.JJ.TE,"14,974"
1450,Thelidjene,DZ.TB.TH,"7,649"
1451,Thenia,DZ.BM.TH,"19,078"
1452,Theniet El Had,DZ.TS.TH,"28,788"
1453,Thleth Douair,DZ.MD.TD,"7,623"
1454,Tianet,DZ.TL.TI,"4,686"
1455,Tiaret,DZ.TR.TR,"165,899"
1456,Tibane,DZ.BJ.TB,"5,368"
1457,Tiberguent,DZ.ML.TI,"8,286"
1458,Tiberkanine,DZ.AD.TB,"14,907"
1459,Tichy,DZ.BJ.TC,"14,350"
1460,Tidda,DZ.TR.TD,"3,476"
1461,Tidjelabine,DZ.BM.TJ,"13,888"
1462,Tiffech,DZ.SA.TI,"5,713"
1463,Tifra,DZ.BJ.TF,"8,547"
1464,Tighanimine,DZ.BT.TN,"3,787"
1465,Tigharghar,DZ.BT.TG,"6,066"
1466,Tighenif,DZ.MC.TG,"55,800"
1467,Tigzirt,DZ.TO.TZ,"10,414"
1468,Tilatou,DZ.BT.TT,"2,367"
1469,Tilmouni,DZ.SB.TI,"7,154"
1470,Timezrit,DZ.BJ.TM,"22,392"
1471,Timezrit,DZ.BM.TM,"10,699"
1472,Timgad,DZ.BT.TM,"10,937"
1473,Timiaouine,DZ.AR.TI,"4,206"
1474,Timizart,DZ.TO.TM,"27,878"
1475,Timmimoun,DZ.AR.TM,"28,595"
1476,Timoudi,DZ.BC.TI,"2,116"
1477,Tindouf,DZ.TN.TI,"25,266"
1478,Tinedbar,DZ.BJ.TD,"6,083"
1479,Tinerkouk,DZ.AR.TK,"13,393"
1480,Tin Zaouatine,DZ.TM.TZ,"2,314"
1481,Tiout,DZ.NA.TI,"3,161"
1482,Tipaza,DZ.TP.TI,"21,915"
1483,Tircine,DZ.SD.TI,"6,307"
1484,Tirmitine,DZ.TO.TT,"18,030"
1485,Tissemsilt,DZ.TS.TI,"61,155"
1486,Tit,DZ.AR.TT,"3,160"
1487,Tixter,DZ.BB.TI,"9,493"
1488,Tizi,DZ.MC.TZ,"10,915"
1489,Tizi-Ghenif,DZ.TO.TG,"27,702"
1490,Tizi N'Bechar,DZ.SF.TN,"18,719"
1491,Tizi-N'Berber,DZ.BJ.TN,"12,964"
1492,Tizi N'Tleta,DZ.TO.TN,"15,891"
1493,Tizi Ouzou,DZ.TO.TO,"117,259"
1494,Tizi-Rached,DZ.TO.TR,"16,861"
1495,T Kout,DZ.BT.TK,"10,629"
1496,Tlemcen,DZ.TL.TL,"132,341"
1497,Tolga,DZ.BS.TO,"42,316"
1498,Touahria,DZ.MG.TO,"6,674"
1499,Toudja,DZ.BJ.TO,"10,659"
1500,Touggourt,DZ.OG.TO,"32,940"
1501,Tousmouline,DZ.EB.TO,"2,050"
1502,Tousnina,DZ.TR.TO,"10,955"
1503,Treat,DZ.AN.TR,"5,089"
1504,Trifaoui,DZ.EO.TR,"6,361"
1505,Tsabit,DZ.AR.TS,"11,832"
1506,Yabous,DZ.KH.YA,"8,868"
1507,Yahia Beniguecha,DZ.ML.YB,"10,681"
1508,Yakourene,DZ.TO.YK,"11,724"
1509,Yatafene,DZ.TO.YT,"4,957"
1510,Yellel,DZ.RE.YE,"34,010"
1511,Youb,DZ.SD.YO,"15,314"
1512,Zaafrane,DZ.DJ.ZF,"12,865"
1513,Zaarouria,DZ.SA.ZA,"10,665"
1514,Zaccar,DZ.DJ.ZC,"3,142"
1515,Zahana,DZ.MC.ZA,"18,839"
1516,Zanet El Beida,DZ.BT.ZB,"9,265"
1517,Zaouia El Abidia,DZ.OG.ZA,"15,381"
1518,Zaouiet Kounta,DZ.AR.ZK,"14,531"
1519,Zarzour,DZ.MS.ZA,"1,876"
1520,Zbarbar (El Isseri),DZ.BU.ZB,"4,525"
1521,Zeboudja,DZ.CH.ZE,"23,079"
1522,Zeddine,DZ.AD.ZE,"10,853"
1523,Zeghaia,DZ.ML.ZE,"15,751"
1524,Zekri,DZ.TO.ZE,"3,666"
1525,Zelfana,DZ.GR.ZE,"7,241"
1526,Zemmoura,DZ.RE.ZM,"25,272"
1527,Zemmouri,DZ.BM.ZE,"21,012"
1528,Zenata,DZ.TL.ZE,"3,190"
1529,Zeralda,DZ.AL.ZE,"33,047"
1530,Zerdeza,DZ.SK.ZE,"12,258"
1531,Zeribet El Oued,DZ.BS.ZO,"16,379"
1532,Zerizer,DZ.ET.ZE,"10,105"
1533,Zerouala,DZ.SB.ZE,"4,333"
1534,Ziama Mansouria,DZ.JJ.ZM,"11,945"
1535,Zighoud Youcef,DZ.CO.ZY,"31,101"
1536,Zitouna,DZ.ET.ZI,"8,367"
1537,Zitouna,DZ.SK.ZI,"8,415"
1538,Zmalet El Emir Abdelkader,DZ.TR.ZE,"14,668"
1539,Zorg,DZ.OB.ZO,"1,736"
1540,Zouabi,DZ.SA.ZO,"3,332"
1541,Zoubiria,DZ.MD.ZO,"15,009"
,,,
,,,
"For other information, kindly visit:  www.downloadexcelfiles.com",,,
